Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
11.00,1100.00,3.04,0.16,18.54,0.50,506.25,0.00
11.00,1100.00,3.04,0.17,17.74,0.52,542.50,0.00
11.00,1100.00,2.78,0.18,15.68,0.49,530.00,0.00
11.00,1100.00,3.04,0.17,17.37,0.53,550.00,0.00
11.00,1100.00,2.90,0.18,16.35,0.52,521.25,0.00
11.00,1100.00,2.94,0.17,16.95,0.51,531.25,0.00
11.00,1100.00,3.17,0.17,18.62,0.54,522.50,0.00
11.00,1100.00,3.20,0.17,18.82,0.54,523.75,0.00
11.00,1100.00,2.95,0.18,16.37,0.53,550.00,0.00
11.00,1150.00,3.21,0.17,18.37,0.56,565.00,0.00
11.00,1150.00,3.17,0.19,16.82,0.60,580.00,0.00
11.00,1150.00,3.38,0.20,16.81,0.68,592.50,0.00
11.00,1150.00,3.58,0.22,16.37,0.78,602.50,0.00
11.00,1150.00,3.95,0.21,18.72,0.84,613.75,0.00
11.00,1150.00,3.80,0.22,17.08,0.85,646.25,0.00
11.00,1150.00,4.06,0.21,18.98,0.87,623.75,0.00
11.00,1150.00,3.90,0.23,17.07,0.89,621.25,0.00
11.00,1150.00,3.74,0.24,15.84,0.88,645.00,0.00
11.00,1150.00,3.88,0.23,16.87,0.89,633.75,0.00
11.00,1200.00,3.85,0.24,16.29,0.91,636.25,0.00
11.00,1200.00,4.02,0.22,18.60,0.87,655.00,0.00
11.00,1200.00,3.45,0.22,15.95,0.75,633.75,0.00
11.00,1200.00,3.40,0.19,17.46,0.66,592.50,0.00
11.00,1200.00,3.05,0.19,16.07,0.58,587.50,0.00
11.00,1200.00,3.24,0.17,19.37,0.54,565.00,0.00
11.00,1200.00,2.91,0.19,15.62,0.54,553.75,0.00
11.00,1200.00,3.11,0.17,18.44,0.53,538.75,0.00
11.00,1200.00,3.06,0.16,18.66,0.50,513.75,0.00
11.00,1200.00,2.84,0.18,15.66,0.51,538.75,0.00
11.00,1250.00,2.88,0.18,15.65,0.53,541.25,0.00
11.00,1250.00,2.72,0.17,15.65,0.47,532.50,0.00
11.00,1250.00,2.65,0.14,19.26,0.36,532.50,0.00
11.00,1250.00,2.06,0.13,15.70,0.27,478.75,0.00
11.00,1250.00,2.29,0.12,18.52,0.28,471.25,0.00
11.00,1250.00,1.96,0.13,15.64,0.24,453.75,0.00
11.00,1250.00,1.89,0.12,15.89,0.22,463.75,0.00
11.00,1250.00,2.01,0.12,16.72,0.24,447.50,0.00
11.00,1250.00,1.99,0.12,16.61,0.24,461.25,0.00
11.00,1250.00,1.84,0.12,15.63,0.22,412.50,0.00
11.00,1300.00,2.11,0.11,19.19,0.23,442.50,0.00
11.00,1300.00,1.91,0.09,20.70,0.18,387.50,0.00
11.00,1300.00,1.60,0.10,16.61,0.15,386.25,0.00
11.00,1300.00,1.52,0.08,20.28,0.11,356.25,0.00
11.00,1300.00,1.48,0.09,17.40,0.13,326.25,0.00
11.00,1300.00,1.46,0.08,17.68,0.12,343.75,0.00
11.00,1300.00,1.43,0.07,20.84,0.10,332.50,0.00
11.00,1300.00,1.44,0.07,20.18,0.10,318.75,0.00
11.00,1300.00,1.29,0.08,16.08,0.10,328.75,0.00
11.00,1300.00,1.38,0.07,20.00,0.09,337.50,0.00
11.00,1350.00,1.32,0.07,18.84,0.09,317.50,0.00
11.00,1350.00,1.14,0.06,19.40,0.07,365.00,0.00
11.00,1350.00,0.99,0.05,18.93,0.05,306.25,0.00
11.00,1350.00,0.69,0.04,18.47,0.03,266.25,0.00
11.00,1350.00,0.74,0.03,22.65,0.02,242.50,0.00
11.00,1350.00,0.79,0.04,19.09,0.03,277.50,0.00
11.00,1350.00,0.73,0.03,22.50,0.02,252.50,0.00
11.00,1350.00,0.67,0.04,16.24,0.03,255.00,0.00
11.00,1350.00,0.66,0.04,16.56,0.03,270.00,0.00
11.00,1350.00,0.70,0.03,21.65,0.02,243.75,0.00
11.00,1400.00,0.70,0.03,20.81,0.02,270.00,0.00
11.00,1400.00,0.39,0.02,22.07,0.01,251.25,0.00
11.00,1400.00,0.11,0.00,28.33,0.00,210.00,0.00
11.00,1400.00,0.08,0.00,inf,0.00,203.75,0.00
11.00,1400.00,0.04,0.00,-14.50,0.00,228.75,0.00
11.00,1400.00,0.05,0.00,-38.00,0.00,186.25,0.00
11.00,1400.00,0.05,0.00,-41.00,0.00,191.25,0.00
11.00,1400.00,0.02,0.00,-8.50,0.00,200.00,0.00
