Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-1.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-1.33,0.00,0.00,0.00
0.00,1100.00,0.01,-0.00,-2.33,0.00,0.00,0.00
0.00,1100.00,0.01,-0.00,-3.67,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.33,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.33,0.00,0.00,0.00
0.00,1100.00,0.01,-0.00,-2.67,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.67,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,297.50,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,290.00,0.00
0.00,1150.00,0.00,-0.00,-2.00,0.00,215.00,0.00
0.00,1150.00,0.01,-0.00,-2.33,0.00,37.50,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,82.50,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,75.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,70.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,90.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,147.50,0.00
0.00,1150.00,0.00,-0.00,-0.67,0.00,117.50,0.00
0.00,1150.00,0.01,-0.00,-2.50,0.00,87.50,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,65.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,35.00,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,12.50,0.00
0.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
0.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
0.00,1150.00,0.00,-0.00,-1.50,0.00,0.00,0.00
0.00,1150.00,0.01,-0.00,-6.00,0.00,0.00,0.00
0.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
0.00,1200.00,0.00,-0.00,-1.00,0.00,125.00,0.00
0.00,1200.00,0.01,-0.00,-3.50,0.00,85.00,0.00
0.00,1200.00,0.00,-0.00,-0.00,0.00,27.50,0.00
