Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,8.942500114440917969e+00,5.274999737739562988e-01,1.695260769486397834e+01,4.717168575841185429e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.942500114440917969e+00,5.274999737739562988e-01,1.695260769486397834e+01,4.717168575841185429e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,5.299999713897705078e-01,1.688207681487156364e+01,4.742174865317338117e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,5.287500023841857910e-01,1.691962160097116907e+01,4.730329688659310250e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,5.274999737739562988e-01,1.695734623611056335e+01,4.718487104427822487e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,5.274999737739562988e-01,1.695734623611056335e+01,4.718487104427822487e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,5.287500023841857910e-01,1.691962160097116907e+01,4.730329688659310250e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,5.287500023841857910e-01,1.692198617217338352e+01,4.730990767353773663e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,5.274999737739562988e-01,1.696208658527063662e+01,4.719806136077636438e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,5.274999737739562988e-01,1.695734623611056335e+01,4.718487104427822487e+00,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.943750381469726562e+00,5.262500047683715820e-01,1.699524997706424756e+01,4.706648680895568759e+00,0.000000000000000000e+00,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.943750381469726562e+00,5.262500047683715820e-01,1.699524997706424756e+01,4.706648680895568759e+00,0.000000000000000000e+00,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.942500114440917969e+00,5.262500047683715820e-01,1.699287417275549572e+01,4.705990727865696499e+00,0.000000000000000000e+00,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,5.274999737739562988e-01,1.695971641069059999e+01,4.719146620252729463e+00,0.000000000000000000e+00,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.942500114440917969e+00,5.274999737739562988e-01,1.695260769486397834e+01,4.717168575841185429e+00,0.000000000000000000e+00,1.150000000000000000e+03,0.000000000000000000e+00
