Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,4.999999888241291046e-03,-2.499999944120645523e-03,-2.000000000000000000e+00,-1.249999944120646148e-05,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,4.999999888241291046e-03,-1.249999972060322762e-03,-4.000000000000000000e+00,-6.249999720603230738e-06,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.250000093132257462e-03,-3.749999916180968285e-03,-1.666666728754839788e+00,-2.343749982537700945e-05,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.250000093132257462e-03,-4.999999888241291046e-03,-1.250000046566129841e+00,-3.124999976716934594e-05,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,4.999999888241291046e-03,-4.999999888241291046e-03,-1.000000000000000000e+00,-2.499999888241292295e-05,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.250000093132257462e-03,-3.749999916180968285e-03,-1.666666728754839788e+00,-2.343749982537700945e-05,0.000000000000000000e+00,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.875000149011611938e-02,-7.499999832361936569e-03,-9.166667070239791215e+00,-5.156249996507537847e-04,9.500000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.250000093132257462e-03,-2.499999944120645523e-03,-2.500000093132259682e+00,-1.562499988358467297e-05,5.125000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,6.250000093132257462e-03,-2.499999944120645523e-03,-2.500000093132259682e+00,-1.562499988358467297e-05,1.125000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.712500005960464478e-01,-1.374999992549419403e-02,-1.245454556538053836e+01,-2.354687495436519340e-03,1.250000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
