Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
1.100000000000000000e+01,1.184192067321676589e-11,7.831949042156338692e-04,1.512001751987443665e-08,9.274531927389139507e-15,5.598430519171415654e-08,1.019699776005911218e-11,3.396984249448564697e-09
1.100000000000000000e+01,1.025595697257131178e-08,6.482450687350649332e-10,1.582111066819835443e+01,6.648373532628358467e-18,3.451290512084960938e+01,1.744412232536684705e+22,1.057341187502697873e+21
1.100000000000000000e+01,1.551133220562500261e-19,2.592980496984864658e-09,5.982047386650877420e-11,4.022058189143885614e-28,1.917632589458583814e+31,1.429734089571864241e+34,1.128272793600000000e+10
1.100000000000000000e+01,2.118933381120000000e+11,2.405981447059502010e-12,8.806939819547150202e+22,5.098114402529780875e-01,7.588000860691867288e+31,4.578267620342438560e+21,1.417048883200000000e+10
1.100000000000000000e+01,1.239826297760009766e+01,1.429308105468750000e+04,8.674310969176246382e-04,1.772093776761693880e+05,2.163251875000000000e+05,3.477233408000000000e+09,6.796676010359818758e-33
1.100000000000000000e+01,2.213468270755840000e+14,1.429729632987722814e+34,1.548172619273707922e-20,3.164661178377716593e+48,6.807973245755190205e-33,6.742218756026318769e+22,3.376691712000000000e+09
1.100000000000000000e+01,1.098312353746847578e+27,1.993817407687064753e-19,5.508590453229861833e+45,2.189834289978218079e+08,9.399859700351953506e-04,6.675762310462229731e+26,8.712028502486646175e-04
1.100000000000000000e+01,2.118801671217563650e+23,4.324725523474626243e-05,4.899274323229763963e+27,9.163235666695290880e+18,8.326512738214142912e+26,6.782328587640051865e-10,4.272579099051654339e-05
1.100000000000000000e+01,7.305061296679785982e+28,6.780905281722482414e-10,1.077298825625854744e+38,4.953492872996244685e+19,4.102591333321470302e-08,2.668649967674241452e-09,6.970585034131208195e+22
1.100000000000000000e+01,1.429733346807840670e+34,7.000782149118801074e-31,2.042248017941542893e+64,1.000925169233221095e+04,2.760348042826528850e+20,1.429732108867801384e+34,3.305440590406619234e+21
1.100000000000000000e+01,6.447094524908436597e-10,1.775070975543291174e+28,3.632020698741463837e-38,1.144405036774902989e+19,1.444646535730953474e-08,5.558980963710945318e-31,7.555029101458025738e+31
1.100000000000000000e+01,3.720000028610229492e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,1.717884887695312500e+03,1.200000000000000000e+03,0.000000000000000000e+00
1.100000000000000000e+01,3.720000028610229492e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,1.747754516601562500e+03,1.200000000000000000e+03,0.000000000000000000e+00
1.100000000000000000e+01,3.720000028610229492e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,1.739021972656250000e+03,1.200000000000000000e+03,0.000000000000000000e+00
