Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
5,1100,0.22,0,89.5,0,3317.5,0
5,1100,0.19,0,76.5,0,90,0
5,1100,0.12,0,100,0,85,0
5,1100,0.03,0,-11,0,80,0
5,1100,0,0,-1,0,70,0
5,1100,0,0,0,0,62.5,0
5,1100,0,0,0,0,57.5,0
5,1100,0,0,0,0,52.5,0
5,1100,0,0,0,0,45,0
5,1100,0,0,0,0,37.5,0
5,1100,0,0,0,0,35,0
5,1100,0,0,0,0,27.5,0
5,1100,0,0,0,0,25,0
5,1100,0,0,0,0,15,0
5,1100,0,0,0,0,12.5,0
5,1100,0,0,0,0,5,0
5,1100,0,0,0,0,2.5,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1200,0.99,0.02,56.64,0.03,162.5,0
5,1200,1.29,0.03,46.82,0.04,172.5,0
5,1200,1.3,0.03,43.21,0.04,180,0
5,1200,1.19,0.03,43.32,0.04,190,0
5,1200,1.55,0.03,45.93,0.05,197.5,0
5,1200,1.39,0.03,41.26,0.05,202.5,0
5,1200,1.66,0.03,55.38,0.05,207.5,0
5,1200,1.6,0.04,44.24,0.06,215,0
5,1200,1.72,0.04,40.38,0.08,222.5,0
5,1200,1.64,0.04,39.73,0.08,227.5,0
5,1200,1.95,0.04,52.1,0.08,230,0
5,1200,2.08,0.04,47.46,0.09,235,0
5,1200,1.87,0.05,40.46,0.1,240,0
5,1200,2.15,0.04,52.12,0.09,245,0
5,1200,1.96,0.05,40.21,0.1,247.5,0
5,1200,2.25,0.05,50.08,0.1,252.5,0
5,1200,2.28,0.05,45.6,0.1,252.5,0
5,1200,2.25,0.04,51.51,0.09,255,0
5,1200,2.22,0.05,42.26,0.12,255,0
5,1250,4.64,0.1,45.78,0.47,430,0
5,1250,4.7,0.11,43.67,0.5,437.5,0
5,1250,4.68,0.11,42.57,0.54,445,0
5,1250,4.98,0.11,46.35,0.54,452.5,0
5,1250,5.01,0.11,46.65,0.54,457.5,0
5,1250,4.74,0.12,40.31,0.56,465,0
5,1250,4.84,0.12,41.66,0.58,470,0
5,1250,5.11,0.12,43.51,0.58,477.5,0
5,1250,5.3,0.11,46.55,0.59,482.5,0
5,1250,5.08,0.12,44.21,0.6,485,0
5,1250,5.03,0.12,41.05,0.61,487.5,0
5,1250,5.46,0.12,45.48,0.65,492.5,0
5,1250,5.27,0.12,43.02,0.64,495,0
5,1250,5.36,0.13,42.44,0.65,497.5,0
5,1250,5.42,0.12,44.68,0.67,500,0
5,1250,5.51,0.12,45.88,0.67,500,0
5,1250,5.32,0.12,42.95,0.69,500,0
5,1250,5.26,0.13,41.28,0.69,502.5,0
5,1250,5.64,0.13,44.65,0.69,502.5,0
5,1300,5.72,0.12,45.74,0.7,512.5,0
5,1300,5.73,0.12,45.83,0.69,515,0
5,1300,5.73,0.13,44.52,0.7,515,0
5,1300,5.68,0.13,43.67,0.7,515,0
5,1300,5.49,0.13,41.41,0.69,515,0
5,1300,5.44,0.13,41.08,0.73,515,0
5,1300,5.63,0.13,42.88,0.74,515,0
5,1300,5.7,0.13,45.12,0.72,515,0
5,1300,5.45,0.13,41.1,0.74,515,0
5,1300,5.7,0.13,45.11,0.72,515,0
5,1300,5.57,0.13,42.45,0.7,515,0
5,1300,5.71,0.13,43.48,0.72,512.5,0
5,1300,5.68,0.12,45.89,0.72,512.5,0
5,1300,5.74,0.13,45.43,0.69,512.5,0
5,1300,5.41,0.13,42.88,0.68,512.5,0
5,1300,5.4,0.13,40.38,0.74,512.5,0
5,1300,5.63,0.12,45.07,0.7,512.5,0
5,1300,5.46,0.13,42.84,0.69,510,0
5,1300,5.42,0.13,42.51,0.72,510,0
5,1350,2.83,0.06,46.27,0.17,295,0
5,1350,2.84,0.06,46.41,0.18,295,0
5,1350,2.72,0.06,44.35,0.18,295,0
5,1350,2.61,0.06,44.36,0.17,292.5,0
5,1350,2.68,0.06,42.88,0.15,295,0
5,1350,2.72,0.06,48.38,0.17,292.5,0
5,1350,2.76,0.06,46.04,0.15,292.5,0
5,1350,2.48,0.06,40.47,0.15,292.5,0
5,1350,2.59,0.06,42.27,0.17,292.5,0
5,1350,2.78,0.06,49.47,0.15,290,0
5,1350,2.65,0.06,43.22,0.15,295,0
5,1350,2.51,0.06,39.31,0.17,290,0
5,1350,2.81,0.06,49.87,0.15,292.5,0
5,1350,2.52,0.06,41.96,0.17,292.5,0
5,1350,2.83,0.06,47.08,0.17,290,0
5,1350,2.53,0.06,42.15,0.15,292.5,0
5,1350,2.47,0.06,40.27,0.17,292.5,0
5,1350,2.58,0.06,42.08,0.15,295,0
5,1350,2.52,0.06,39.49,0.17,295,0
5,1400,1.89,0.05,42.06,0.1,240,0
5,1400,2.05,0.05,42.13,0.09,242.5,0
5,1400,2.06,0.04,48.5,0.09,242.5,0
5,1400,1.91,0.05,39.28,0.09,240,0
5,1400,2.15,0.05,45.34,0.09,240,0
5,1400,1.89,0.05,39.87,0.1,240,0
5,1400,2.12,0.04,49.97,0.09,240,0
5,1400,2,0.05,42.18,0.09,242.5,0
5,1400,2.11,0.05,46.78,0.08,242.5,0
5,1400,1.96,0.04,50.48,0.08,240,0
5,1400,1.99,0.05,44.14,0.09,237.5,0
5,1400,1.83,0.05,39.54,0.09,237.5,0
5,1400,2.02,0.05,44.83,0.09,237.5,0
5,1400,1.79,0.05,39.86,0.09,237.5,0
5,1400,2.01,0.04,50.34,0.08,237.5,0
5,1400,1.86,0.05,41.22,0.08,237.5,0
5,1400,1.87,0.04,44.09,0.09,237.5,0
5,1400,2.03,0.04,47.76,0.09,237.5,0
5,1400,2.08,0.05,46.14,0.08,237.5,0
5,1450,0.91,0.02,43,0.03,162.5,0
5,1450,1.06,0.02,49.76,0.01,162.5,0
5,1450,1.09,0.03,43.45,0.03,162.5,0
5,1450,1.09,0.02,48.22,0.03,162.5,0
5,1450,1.06,0.02,44.74,0.03,162.5,0
5,1450,1.05,0.02,46.67,0.03,162.5,0
5,1450,1.09,0.02,45.95,0.03,162.5,0
5,1450,0.87,0.02,41,0.03,162.5,0
5,1450,0.82,0.02,43.53,0.01,160,0
5,1450,1.08,0.02,47.89,0.03,160,0
5,1450,0.96,0.02,59.23,0.01,160,0
5,1450,1.05,0.02,46.67,0.03,162.5,0
5,1450,1.04,0.02,52.06,0.01,162.5,0
5,1450,0.81,0.02,40.38,0.03,162.5,0
5,1450,0.86,0.02,38.33,0.01,162.5,0
5,1450,0.96,0.02,54.79,0.01,160,0
5,1450,0.97,0.02,45.71,0.03,160,0
5,1450,1.05,0.02,49.35,0.03,162.5,0
5,1450,0.98,0.03,39.3,0.03,162.5,0
5,1480,0.6,0.01,59.88,0.01,125,0
5,1480,0.58,0.01,66.71,0,127.5,0
5,1480,0.62,0.01,55.33,0,127.5,0
5,1480,0.61,0.01,60.63,0,127.5,0
5,1480,0.45,0.01,60,0,127.5,0
5,1480,0.61,0.01,54.56,0,125,0
5,1480,0.63,0.01,46.09,0.01,125,0
5,1480,0.61,0.01,48.5,0.01,125,0
5,1480,0.45,0.01,51.14,0,125,0
5,1480,0.51,0.01,68.17,0,125,0
5,1480,0.55,0.01,44.1,0.01,125,0
5,1480,0.6,0.01,68.71,0,125,0
5,1480,0.6,0.01,60,0,125,0
5,1480,0.51,0.01,45,0,125,0
5,1480,0.57,0.01,65.43,0,127.5,0
5,1480,0.47,0.01,41.67,0.01,125,0
5,1480,0.47,0.01,46.88,0,125,0
5,1480,0.55,0.01,54.87,0,122.5,0
5,1480,0.5,0.01,44.78,0,122.5,0
