Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
5.00,1100.00,0.00,-0.00,-0.00,0.00,40.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
5.00,1200.00,1.57,0.04,36.85,0.06,222.50,0.00
5.00,1200.00,1.87,0.04,45.36,0.08,235.00,0.00
5.00,1200.00,1.86,0.05,36.24,0.09,245.00,0.00
5.00,1200.00,2.02,0.05,37.65,0.12,255.00,0.00
5.00,1200.00,2.11,0.05,38.32,0.13,262.50,0.00
5.00,1200.00,2.19,0.06,38.13,0.13,272.50,0.00
5.00,1200.00,2.33,0.06,38.83,0.14,280.00,0.00
5.00,1200.00,2.55,0.06,42.54,0.15,285.00,0.00
5.00,1200.00,2.53,0.06,43.98,0.15,290.00,0.00
5.00,1200.00,2.73,0.06,45.48,0.17,295.00,0.00
5.00,1200.00,2.59,0.06,39.85,0.17,300.00,0.00
5.00,1200.00,2.54,0.07,38.28,0.17,300.00,0.00
5.00,1200.00,2.80,0.06,44.86,0.17,305.00,0.00
5.00,1200.00,2.90,0.06,46.40,0.18,310.00,0.00
5.00,1200.00,2.78,0.07,41.13,0.18,310.00,0.00
5.00,1200.00,2.86,0.06,43.98,0.19,312.50,0.00
5.00,1200.00,3.01,0.06,46.23,0.20,315.00,0.00
5.00,1200.00,2.94,0.07,41.33,0.19,317.50,0.00
5.00,1200.00,3.07,0.07,46.40,0.20,320.00,0.00
5.00,1250.00,3.87,0.10,40.25,0.37,400.00,0.00
5.00,1250.00,3.96,0.10,40.59,0.38,405.00,0.00
5.00,1250.00,3.91,0.10,38.60,0.40,410.00,0.00
5.00,1250.00,4.09,0.10,41.37,0.40,415.00,0.00
5.00,1250.00,4.08,0.11,38.44,0.44,420.00,0.00
5.00,1250.00,4.43,0.10,44.27,0.45,427.50,0.00
5.00,1250.00,4.57,0.10,44.63,0.46,430.00,0.00
5.00,1250.00,4.25,0.11,39.50,0.46,435.00,0.00
5.00,1250.00,4.34,0.11,39.03,0.49,442.50,0.00
5.00,1250.00,4.72,0.10,45.00,0.50,447.50,0.00
5.00,1250.00,4.78,0.11,43.94,0.51,452.50,0.00
5.00,1250.00,4.84,0.11,44.05,0.52,460.00,0.00
