Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
6.00,1100.00,0.32,0.01,42.67,0.00,2115.00,0.00
6.00,1100.00,0.34,0.01,29.89,0.00,120.00,0.00
6.00,1100.00,0.31,0.01,25.20,0.00,120.00,0.00
6.00,1100.00,0.35,0.01,25.45,0.00,120.00,0.00
6.00,1100.00,0.35,0.01,35.25,0.00,120.00,0.00
6.00,1100.00,0.43,0.01,28.50,0.01,122.50,0.00
6.00,1100.00,0.37,0.01,37.25,0.00,122.50,0.00
6.00,1100.00,0.33,0.02,20.38,0.01,125.00,0.00
6.00,1100.00,0.45,0.02,27.54,0.01,125.00,0.00
6.00,1100.00,0.35,0.01,23.58,0.00,125.00,0.00
6.00,1100.00,0.45,0.01,36.00,0.00,125.00,0.00
6.00,1100.00,0.45,0.02,25.64,0.01,127.50,0.00
6.00,1100.00,0.45,0.01,40.00,0.01,127.50,0.00
6.00,1100.00,0.32,0.01,23.27,0.01,130.00,0.00
6.00,1100.00,0.52,0.02,29.64,0.01,127.50,0.00
6.00,1100.00,0.46,0.02,28.38,0.01,127.50,0.00
6.00,1100.00,0.53,0.01,35.25,0.00,130.00,0.00
6.00,1100.00,0.55,0.01,39.64,0.00,130.00,0.00
6.00,1100.00,0.57,0.02,35.38,0.00,130.00,0.00
6.00,1100.00,0.55,0.02,31.29,0.01,127.50,0.00
6.00,1150.00,0.73,0.02,34.29,0.01,145.00,0.00
6.00,1150.00,0.69,0.02,32.24,0.01,145.00,0.00
6.00,1150.00,0.69,0.02,29.00,0.01,147.50,0.00
6.00,1150.00,0.68,0.02,30.06,0.01,147.50,0.00
6.00,1150.00,0.76,0.02,35.65,0.01,147.50,0.00
6.00,1150.00,0.75,0.02,31.47,0.01,147.50,0.00
6.00,1150.00,0.64,0.02,34.20,0.01,147.50,0.00
6.00,1150.00,0.64,0.03,25.65,0.03,147.50,0.00
6.00,1150.00,0.70,0.02,29.58,0.01,150.00,0.00
6.00,1150.00,0.75,0.03,30.05,0.01,150.00,0.00
6.00,1150.00,0.67,0.02,33.50,0.01,150.00,0.00
6.00,1150.00,0.72,0.02,30.21,0.01,152.50,0.00
6.00,1150.00,0.73,0.02,32.50,0.01,152.50,0.00
6.00,1150.00,0.75,0.02,35.18,0.01,152.50,0.00
6.00,1150.00,0.80,0.03,30.33,0.01,152.50,0.00
6.00,1150.00,0.82,0.03,31.10,0.01,152.50,0.00
6.00,1150.00,0.84,0.02,35.26,0.03,152.50,0.00
6.00,1150.00,0.72,0.02,34.06,0.01,152.50,0.00
6.00,1150.00,0.85,0.03,33.80,0.01,155.00,0.00
6.00,1200.00,3.82,0.12,32.88,0.44,377.50,0.00
6.00,1200.00,4.11,0.12,34.97,0.47,390.00,0.00
6.00,1200.00,3.98,0.13,29.79,0.54,405.00,0.00
6.00,1200.00,4.08,0.14,30.24,0.56,415.00,0.00
6.00,1200.00,3.83,0.14,28.38,0.55,427.50,0.00
6.00,1200.00,3.99,0.13,29.81,0.52,432.50,0.00
6.00,1200.00,3.78,0.14,27.45,0.52,442.50,0.00
6.00,1200.00,3.96,0.13,31.37,0.49,422.50,0.00
6.00,1200.00,3.73,0.13,28.40,0.51,420.00,0.00
6.00,1200.00,4.00,0.12,33.00,0.47,412.50,0.00
6.00,1200.00,3.67,0.13,29.11,0.46,407.50,0.00
6.00,1200.00,3.53,0.12,29.42,0.41,402.50,0.00
6.00,1200.00,4.00,0.12,34.02,0.47,412.50,0.00
6.00,1200.00,3.38,0.12,27.31,0.42,395.00,0.00
6.00,1200.00,3.32,0.12,26.80,0.42,392.50,0.00
6.00,1200.00,2.99,0.12,24.68,0.35,392.50,0.00
6.00,1200.00,3.23,0.12,27.24,0.38,387.50,0.00
6.00,1200.00,3.55,0.11,31.52,0.40,400.00,0.00
6.00,1200.00,3.10,0.11,27.54,0.35,377.50,0.00
6.00,1250.00,2.23,0.09,24.48,0.19,310.00,0.00
6.00,1250.00,2.25,0.08,28.52,0.18,310.00,0.00
6.00,1250.00,2.43,0.08,29.04,0.18,305.00,0.00
6.00,1250.00,2.02,0.09,23.45,0.15,300.00,0.00
6.00,1250.00,2.34,0.07,31.76,0.17,295.00,0.00
6.00,1250.00,2.64,0.07,37.75,0.18,290.00,0.00
6.00,1250.00,2.26,0.08,30.12,0.19,287.50,0.00
6.00,1250.00,2.51,0.08,32.85,0.18,285.00,0.00
6.00,1250.00,1.96,0.08,26.07,0.15,285.00,0.00
6.00,1250.00,2.18,0.08,27.63,0.17,282.50,0.00
6.00,1250.00,2.10,0.08,27.03,0.15,282.50,0.00
6.00,1250.00,2.40,0.07,33.74,0.19,282.50,0.00
6.00,1250.00,2.24,0.07,32.02,0.15,282.50,0.00
6.00,1250.00,2.13,0.08,27.97,0.17,282.50,0.00
6.00,1250.00,2.18,0.07,31.67,0.17,280.00,0.00
6.00,1250.00,2.05,0.07,28.29,0.15,282.50,0.00
6.00,1250.00,2.31,0.07,32.93,0.17,280.00,0.00
6.00,1250.00,2.29,0.07,32.68,0.17,282.50,0.00
6.00,1250.00,2.03,0.08,26.21,0.15,282.50,0.00
6.00,1300.00,5.17,0.17,30.63,0.91,512.50,0.00
6.00,1300.00,5.30,0.18,29.43,0.93,530.00,0.00
6.00,1300.00,5.50,0.18,30.32,0.96,540.00,0.00
6.00,1300.00,5.38,0.19,28.50,1.05,547.50,0.00
6.00,1300.00,5.64,0.18,31.33,1.08,557.50,0.00
6.00,1300.00,5.98,0.19,31.06,1.11,570.00,0.00
6.00,1300.00,6.22,0.19,32.13,1.20,572.50,0.00
6.00,1300.00,6.31,0.20,31.74,1.22,580.00,0.00
6.00,1300.00,6.17,0.20,30.48,1.23,585.00,0.00
6.00,1300.00,6.26,0.20,31.71,1.24,592.50,0.00
6.00,1300.00,6.35,0.21,30.24,1.33,602.50,0.00
6.00,1300.00,6.18,0.21,29.27,1.31,600.00,0.00
6.00,1300.00,6.25,0.20,30.67,1.32,605.00,0.00
6.00,1300.00,6.29,0.21,30.13,1.37,607.50,0.00
6.00,1300.00,6.17,0.21,29.57,1.29,610.00,0.00
6.00,1300.00,6.62,0.21,32.12,1.31,615.00,0.00
