Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
8,1200,2.14,0.46,4.66,1,14360,0
8,1200,2.17,0.45,4.8,0.96,680,0
8,1200,2.15,0.45,4.79,0.96,680,0
8,1200,2.15,0.45,4.76,0.96,752.5,0
8,1200,2.14,0.45,4.73,0.97,700,0
8,1200,2.17,0.46,4.76,0.97,705,0
8,1200,2.16,0.45,4.8,0.96,737.5,0
8,1200,2.15,0.46,4.7,0.96,655,0
8,1200,2.16,0.45,4.84,0.95,745,0
8,1200,2.16,0.45,4.78,0.97,757.5,0
8,1200,2.17,0.46,4.75,0.97,715,0
8,1200,2.14,0.46,4.69,0.99,705,0
8,1200,2.18,0.45,4.8,0.99,715,0
8,1200,2.15,0.46,4.68,0.97,737.5,0
8,1200,2.17,0.45,4.79,0.99,722.5,0
8,1200,2.15,0.46,4.69,0.99,702.5,0
8,1200,2.17,0.46,4.74,1,717.5,0
8,1200,2.18,0.46,4.75,0.99,685,0
8,1200,2.18,0.45,4.8,0.99,722.5,0
