Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
10.00,1125.00,0.10,0.01,15.60,0.00,0.00,0.00
10.00,1125.00,0.08,0.01,12.40,0.00,0.00,0.00
10.00,1125.00,0.10,0.01,11.71,0.00,0.00,0.00
10.00,1125.00,0.10,0.01,11.86,0.00,0.00,0.00
10.00,1125.00,0.09,0.01,12.33,0.00,0.00,0.00
10.00,1125.00,0.15,0.01,9.83,0.00,0.00,0.00
10.00,1125.00,0.08,0.01,12.80,0.00,0.00,0.00
10.00,1125.00,0.10,0.01,11.57,0.00,0.00,0.00
10.00,1125.00,0.11,0.01,13.00,0.00,0.00,0.00
10.00,1125.00,0.06,0.00,17.33,0.00,0.00,0.00
10.00,1125.00,0.08,0.01,12.80,0.00,0.00,0.00
10.00,1125.00,0.05,0.00,18.00,0.00,0.00,0.00
10.00,1125.00,0.04,0.00,16.50,0.00,0.00,0.00
10.00,1125.00,0.05,0.00,9.25,0.00,0.00,0.00
10.00,1125.00,0.01,0.00,0.00,0.00,0.00,0.00
10.00,1125.00,0.01,0.00,0.00,0.00,0.00,0.00
10.00,1125.00,0.02,0.00,9.50,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-4.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
