Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-3.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.08,0.01,12.60,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-1.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1125.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
10.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
