Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.00,9.00,0.53,16.98,4.77,0.00,1100.00,0.00
8.00,9.00,0.53,16.94,4.78,0.00,1100.00,0.00
8.00,9.00,0.53,16.99,4.77,0.00,1100.00,0.00
8.00,9.00,0.53,17.07,4.75,0.00,1100.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1100.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1100.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1100.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1100.00,0.00
8.00,9.01,0.53,16.99,4.77,0.00,1100.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1100.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1150.00,0.00
8.00,9.01,0.53,17.03,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,16.99,4.77,0.00,1150.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1150.00,0.00
8.00,9.00,0.53,16.99,4.77,0.00,1150.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1150.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1200.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1200.00,0.00
8.00,9.00,0.53,17.07,4.75,0.00,1200.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1200.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1200.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1200.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1200.00,0.00
8.00,9.00,0.53,16.99,4.77,0.00,1200.00,0.00
8.00,9.00,0.53,17.02,4.76,0.00,1200.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1200.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1250.00,0.00
8.00,9.00,0.53,17.03,4.76,0.00,1250.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1250.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1250.00,0.00
8.00,9.00,0.53,17.06,4.75,0.00,1250.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1250.00,0.00
8.00,9.00,0.53,16.98,4.77,0.00,1250.00,0.00
8.00,8.99,0.53,17.01,4.75,5.00,1250.00,0.00
8.00,9.00,0.53,16.98,4.77,40.00,1250.00,0.00
8.00,9.00,0.53,16.97,4.77,53.75,1250.00,0.00
8.00,8.99,0.53,17.00,4.75,1873.75,1300.00,0.00
8.00,8.99,0.53,17.00,4.75,215.00,1300.00,0.00
8.00,8.99,0.53,16.97,4.77,215.00,1300.00,0.00
8.00,8.99,0.53,17.00,4.75,175.00,1300.00,0.00
8.00,8.99,0.53,17.05,4.74,185.00,1300.00,0.00
8.00,9.00,0.53,17.06,4.75,196.25,1300.00,0.00
8.00,9.00,0.53,16.97,4.77,210.00,1300.00,0.00
8.00,8.99,0.53,17.01,4.76,182.50,1300.00,0.00
8.00,8.99,0.53,16.97,4.77,190.00,1300.00,0.00
8.00,9.00,0.53,16.98,4.77,187.50,1300.00,0.00
8.00,8.99,0.53,16.93,4.78,2293.75,1350.00,0.00
8.00,8.99,0.53,17.01,4.76,203.75,1350.00,0.00
8.00,8.99,0.53,16.96,4.76,196.25,1350.00,0.00
8.00,8.99,0.53,16.97,4.77,197.50,1350.00,0.00
8.00,9.00,0.53,17.01,4.76,180.00,1350.00,0.00
8.00,9.00,0.53,16.94,4.78,186.25,1350.00,0.00
8.00,8.99,0.53,17.01,4.76,177.50,1350.00,0.00
8.00,8.99,0.53,16.97,4.77,142.50,1350.00,0.00
8.00,9.00,0.53,17.02,4.76,7.50,1350.00,0.00
8.00,9.00,0.53,16.98,4.77,26.25,1350.00,0.00
8.00,8.99,0.53,17.01,4.75,356.25,1400.00,0.00
8.00,8.99,0.53,16.96,4.77,0.00,1400.00,0.00
8.00,8.99,0.53,17.05,4.74,0.00,1400.00,0.00
8.00,8.99,0.53,16.96,4.77,0.00,1400.00,0.00
8.00,8.99,0.53,16.97,4.77,0.00,1400.00,0.00
8.00,8.99,0.53,16.96,4.77,23.75,1400.00,0.00
8.00,8.99,0.53,16.96,4.77,80.00,1400.00,0.00
8.00,9.00,0.53,17.02,4.76,85.00,1400.00,0.00
8.00,8.99,0.53,16.96,4.76,92.50,1400.00,0.00
8.00,8.99,0.53,17.00,4.75,142.50,1400.00,0.00
