Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.355000000000000000e+03,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,4.475000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.162500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-1.249999972060322762e-03,-2.000000000000000000e+00,-3.124999860301615369e-06,3.712500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,3.787500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,4.262500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-1.249999972060322762e-03,-1.000000000000000000e+00,-1.562499930150807684e-06,3.937500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,3.962500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,3.950000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.250000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,5.058750000000000000e+03,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.750000000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,4.350000000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.262500000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.412500000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.575000000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,4.737500000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.650000000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.612500000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.575000000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-1.249999972060322762e-03,-2.000000000000000000e+00,-3.124999860301615369e-06,5.025000000000000000e+03,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.875000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,3.749999916180968285e-03,-3.749999916180968285e-03,-1.000000000000000000e+00,-1.406249937135726916e-05,4.475000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.912500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.650000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.362500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,3.749999916180968285e-03,-3.749999916180968285e-03,-1.000000000000000000e+00,-1.406249937135726916e-05,4.600000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.387500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.437500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.262500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.305000000000000000e+03,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,5.125000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.950000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.800000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-1.249999972060322762e-03,-1.000000000000000000e+00,-1.562499930150807684e-06,4.950000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.000000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.250000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.287500000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.412500000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.162500000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
