Windspeed (m/s), Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Pitch, Load Setting
1.350000000000000000e+01,1.033750057220458984e+00,-3.749999916180968285e-03,-2.756666880870863565e+02,-3.876562627928792359e-03,2.500000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.024999991059303284e-01,-2.499999944120645523e-03,-4.100000055879355898e+01,-2.562499920371920370e-04,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.062500119209289551e-01,-3.749999916180968285e-03,-1.883333407218259197e+02,-2.648437485506291433e-03,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,6.075000166893005371e-01,-3.749999916180968285e-03,-1.620000080714625028e+02,-2.278125011664813848e-03,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,9.687500000000000000e-01,-2.499999944120645523e-03,-3.875000086613001145e+02,-2.421874945866875350e-03,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,2.875000052154064178e-02,-2.499999944120645523e-03,-1.150000046566129797e+01,-7.187499969732013411e-05,0.000000000000000000e+00,1.200000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.250000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,4.250000044703483582e-02,-4.999999888241291046e-03,-8.500000279396779490e+00,-2.124999974854289986e-04,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,6.875000149011611938e-02,-1.249999972060322762e-03,-5.500000242143875084e+01,-8.593749994179229745e-05,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,9.549999833106994629e-01,-1.249999972060322762e-03,-7.640000037252904121e+02,-1.193749952455983032e-03,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,8.262500166893005371e-01,-3.749999916180968285e-03,-2.203333427086474501e+02,-3.098437493329400660e-03,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,8.124999701976776123e-02,-3.749999916180968285e-03,-2.166666635622580017e+01,-3.046874820138330275e-04,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,8.025000095367431641e-01,-3.749999916180968285e-03,-2.140000073264044147e+02,-3.009374968498013114e-03,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,8.387500047683715820e-01,-2.499999944120645523e-03,-3.355000094063582310e+02,-2.096874965052120121e-03,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
