Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
12.00,1100.00,0.00,-0.00,-0.00,0.00,505.00,0.00
12.00,1100.00,0.02,-0.00,-8.00,0.00,102.50,0.00
12.00,1100.00,0.06,0.00,46.00,0.00,117.50,0.00
12.00,1100.00,0.10,0.00,19.50,0.00,145.00,0.00
12.00,1100.00,0.13,0.01,10.20,0.00,130.00,0.00
12.00,1100.00,0.14,0.01,9.42,0.00,152.50,0.00
12.00,1100.00,0.14,0.01,12.89,0.00,150.00,0.00
12.00,1100.00,0.23,0.02,12.47,0.00,157.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,87.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,70.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,7.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,22.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,17.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,22.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,12.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,20.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,32.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,52.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,5.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,25.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,5.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,20.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,12.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,27.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,40.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,50.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,37.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,7.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,5.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-1.00,0.00,2.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,5.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
