Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
7.00,1100.00,0.01,-0.00,-1.50,0.00,42.50,0.00
7.00,1100.00,0.26,-0.00,-105.50,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-1.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.33,0.00,0.00,0.00
7.00,1100.00,0.01,-0.00,-1.75,0.00,0.00,0.00
7.00,1100.00,0.25,-0.00,-98.50,0.00,0.00,0.00
7.00,1100.00,0.08,-0.00,-20.67,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.50,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-1.50,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.01,-0.00,-6.00,0.00,0.00,0.00
7.00,1100.00,0.01,-0.00,-4.50,0.00,0.00,0.00
7.00,1100.00,0.25,-0.00,-101.00,0.00,0.00,0.00
7.00,1100.00,0.05,-0.00,-14.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.01,-0.00,-3.00,0.00,0.00,0.00
7.00,1150.00,0.23,-0.00,-46.75,0.00,0.00,0.00
7.00,1150.00,0.17,-0.00,-45.67,0.00,0.00,0.00
7.00,1150.00,0.01,-0.00,-2.33,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.01,-0.00,-2.33,0.00,0.00,0.00
7.00,1150.00,0.25,-0.00,-66.00,0.00,0.00,0.00
7.00,1150.00,0.07,-0.00,-18.67,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.33,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.02,-0.00,-6.33,0.00,0.00,0.00
7.00,1200.00,0.21,-0.00,-83.50,0.00,0.00,0.00
7.00,1200.00,0.03,-0.00,-8.33,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-1.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-1.00,0.00,0.00,0.00
7.00,1200.00,0.24,-0.00,-64.67,0.00,0.00,0.00
7.00,1200.00,0.12,-0.00,-50.00,0.00,0.00,0.00
7.00,1200.00,0.01,-0.00,-3.50,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
