Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.05,-0.00,-19.50,0.00,0.00,0.00
7.00,1100.00,0.14,-0.00,-36.00,0.00,0.00,0.00
7.00,1100.00,0.02,-0.00,-5.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-1.00,0.00,0.00,0.00
7.00,1100.00,0.01,-0.00,-6.00,0.00,0.00,0.00
7.00,1100.00,0.09,-0.00,-17.00,0.00,0.00,0.00
7.00,1100.00,0.13,-0.00,-34.33,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1100.00,0.00,-0.00,-2.00,0.00,0.00,0.00
7.00,1100.00,0.12,-0.00,-32.00,0.00,0.00,0.00
7.00,1100.00,0.10,-0.00,-20.75,0.00,0.00,0.00
7.00,1050.00,0.10,-0.00,-27.33,0.00,0.00,0.00
7.00,1050.00,0.12,-0.00,-23.00,0.00,0.00,0.00
7.00,1050.00,0.01,-0.00,-4.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-2.00,0.00,0.00,0.00
7.00,1050.00,0.16,-0.00,-62.00,0.00,0.00,0.00
7.00,1050.00,0.09,-0.00,-23.67,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-2.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-1.00,0.00,0.00,0.00
7.00,1050.00,0.01,-0.00,-3.00,0.00,0.00,0.00
7.00,1050.00,0.14,-0.00,-36.67,0.00,0.00,0.00
7.00,1050.00,0.05,-0.00,-21.00,0.00,0.00,0.00
7.00,1050.00,0.00,-0.00,-0.67,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.01,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-1.33,0.00,0.00,0.00
7.00,1150.00,0.06,-0.00,-15.33,0.00,0.00,0.00
7.00,1150.00,0.13,-0.00,-51.50,0.00,0.00,0.00
7.00,1150.00,0.02,-0.00,-7.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
7.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
