Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
5.00,1100.00,0.00,-0.01,-0.00,0.00,10912.50,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,625.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,630.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,625.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,620.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,620.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,625.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,610.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,617.50,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,622.50,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,590.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,575.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,600.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,610.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,595.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,632.50,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,620.00,0.00
5.00,1100.00,0.00,-0.01,-0.00,0.00,625.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,645.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,640.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,660.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,645.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,675.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,635.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,610.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,760.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,1210.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,1190.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,795.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,825.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,595.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,590.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1150.00,0.00,-0.01,-0.00,0.00,595.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,600.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,600.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,585.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,595.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,575.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,580.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,575.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,560.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,575.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,580.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,575.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,580.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,585.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,580.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,590.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,580.00,0.00
5.00,1200.00,0.00,-0.01,-0.00,0.00,585.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,617.50,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,622.50,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,617.50,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,605.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,615.00,0.00
5.00,1250.00,0.00,-0.01,-0.00,0.00,600.00,0.00
