Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
12.00,1100.00,0.00,-0.00,-0.00,0.00,405.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,40.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,25.00,0.00
12.00,1100.00,0.01,-0.00,-4.00,0.00,27.50,0.00
12.00,1100.00,0.00,-0.00,-1.00,0.00,77.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,22.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,37.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1100.00,0.01,-0.00,-2.00,0.00,52.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,45.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,55.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,47.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,45.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,40.00,0.00
12.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.01,-0.00,-3.50,0.00,15.00,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,67.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,52.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,50.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,15.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,15.00,0.00
12.00,1150.00,0.01,-0.00,-3.00,0.00,25.00,0.00
12.00,1150.00,0.00,-0.00,-1.00,0.00,10.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,30.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,95.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,52.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,135.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,67.50,0.00
12.00,1200.00,0.01,-0.00,-4.00,0.00,157.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,85.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,165.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,107.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,90.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,122.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,70.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,90.00,0.00
12.00,1200.00,0.01,-0.00,-1.50,0.00,122.50,0.00
12.00,1200.00,0.00,-0.00,-0.25,0.00,107.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,75.00,0.00
12.00,1200.00,0.00,0.00,0.00,0.00,105.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,75.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
