Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
12.00,1100.00,0.00,-0.00,-0.00,0.00,5.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-4.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-1.50,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-1.33,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,2.50,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,47.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,12.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-1.00,0.00,30.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,60.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,50.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,50.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,52.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,57.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,65.00,0.00
12.00,1400.00,0.00,-0.00,-0.50,0.00,57.50,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,12.50,0.00
12.00,1400.00,0.00,-0.00,-0.50,0.00,52.50,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.67,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-1.00,0.00,0.00,0.00
