Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
12.00,1100.00,0.00,-0.00,-0.33,0.00,18362.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,832.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,1067.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,947.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,805.00,0.00
12.00,1100.00,0.00,-0.00,-0.67,0.00,832.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,1067.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,1122.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,825.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,985.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,900.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,717.50,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,962.50,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,867.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,827.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,792.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,637.50,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,770.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,907.50,0.00
12.00,1100.00,0.00,-0.00,-0.67,0.00,887.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,647.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,700.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,892.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,725.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,727.50,0.00
12.00,1150.00,0.00,-0.00,-1.50,0.00,747.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,957.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,792.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,802.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,957.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,627.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,1122.50,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,950.00,0.00
12.00,1150.00,0.00,-0.00,-0.67,0.00,815.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,1097.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,602.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,667.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,807.50,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,852.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,800.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,945.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,702.50,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,752.50,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,640.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,930.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,630.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,942.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,787.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,962.50,0.00
12.00,1200.00,0.00,-0.00,-1.50,0.00,742.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,667.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,965.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,965.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,1122.50,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,985.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,575.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,842.50,0.00
12.00,1200.00,0.00,-0.00,-0.67,0.00,1015.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-2.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-2.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.01,-0.00,-1.67,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-2.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.00,0.00,20.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,32.50,0.00
12.00,1350.00,0.00,-0.00,-0.50,0.00,32.50,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,37.50,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,37.50,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,37.50,0.00
12.00,1350.00,0.01,-0.00,-2.50,0.00,37.50,0.00
12.00,1350.00,0.00,-0.00,-0.50,0.00,40.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,27.50,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,35.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,30.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,10.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-4.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1350.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.67,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.01,-0.00,-2.50,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1400.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-1.50,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-1.50,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-3.00,0.00,0.00,0.00
12.00,1450.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,0.00,0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.67,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1480.00,0.00,-0.00,-0.00,0.00,0.00,0.00
