Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-2.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.33,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1200.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-1.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-2.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-1.50,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1250.00,0.00,-0.00,-0.00,0.00,0.00,0.00
12.00,1300.00,0.00,-0.00,-0.50,0.00,0.00,0.00
